keyword,ok,volume,cpc,difficulty,intent,trend,error
lunch bag,True,90000,1.8,62,transactional,rising,
water bottle kids,True,74000,2.4,55,transactional,stable,
thermos kids,True,40000,1.5,48,transactional,stable,
pencil case,True,110000,0.9,52,transactional,stable,
crayon box,True,12000,0.7,38,transactional,stable,
glue sticks,True,49500,0.6,45,transactional,stable,
scissors kids,True,27000,0.8,42,transactional,stable,
construction paper,True,60000,0.5,44,transactional,stable,
poster board,True,74000,0.4,46,transactional,stable,
science kit,True,33000,2.8,51,commercial,stable,
robot kit,True,27000,3.5,54,commercial,stable,
coding toy,True,14000,4.2,49,commercial,rising,
drone kids,True,49500,1.8,55,transactional,rising,
rc car,True,135000,1.2,50,transactional,stable,
hot wheels,True,246000,0.9,68,navigational,stable,
action figures,True,110000,1.1,53,transactional,stable,
barbie dolls,True,201000,1.4,70,navigational,rising,
stuffed animals,True,165000,0.8,59,transactional,stable,
plush toy,True,165000,1,68,commercial,stable,
building blocks,True,90500,2,72,commercial,stable,
magnetic tiles,True,110000,2,65,transactional,rising,
slime kit,True,74000,1,58,transactional,declining,
kinetic sand,True,135000,1,62,commercial,stable,
play tent,True,60500,2,55,transactional,stable,
trampoline,True,246000,3,78,transactional,stable,
scooter,True,165000,2,70,commercial,stable,
skateboard,True,201000,1,75,commercial,stable,
roller skates,True,110000,1,68,transactional,stable,
hoverboard,True,135000,2,70,transactional,declining,
balance bike,True,74000,3,62,commercial,stable,
bike helmet kids,True,49500,2,54,transactional,stable,
knee pads,True,90500,1,48,transactional,stable,
elbow pads,True,22200,1,40,transactional,stable,
wrist guards,True,27100,1,42,transactional,stable,
soccer ball,True,135000,1,64,transactional,stable,
basketball,True,450000,1,78,commercial,stable,
football,True,1000000,1,82,commercial,stable,
volleyball,True,201000,1,65,commercial,stable,
tennis racket,True,110000,2,58,transactional,stable,
badminton set,True,40500,2,52,transactional,stable,
pickleball paddles,True,165000,4,72,transactional,rising,
golf balls,True,165000,1,60,transactional,stable,
golf tees,True,33100,1,45,transactional,stable,
golf glove,True,74000,1.2,65,transactional,stable,
baseball glove,True,110000,1.85,72,transactional,stable,
bat,True,246000,0.95,85,commercial,stable,
catchers mitt,True,49500,2.1,58,transactional,stable,
hockey stick,True,60500,1.5,62,transactional,stable,
puck,True,27000,0.8,45,transactional,stable,
swim fins,True,33000,1.1,48,transactional,stable,
kickboard,True,22000,0.75,42,transactional,stable,
pool noodles,True,135000,0.6,55,transactional,rising,
pool float,True,165000,0.9,68,transactional,rising,
inflatable pool,True,201000,1.4,70,transactional,rising,
sand toys,True,18000,0.55,38,transactional,stable,
kites,True,90500,0.7,52,transactional,stable,
frisbee,True,110000,0.85,60,transactional,stable,
boomerang,True,33000,0.65,40,transactional,stable,
hacky sack,True,27000,0.4,32,transactional,stable,
cornhole set,True,90500,2.5,65,transactional,stable,
bean bags,True,74000,1.2,45,transactional,stable,
dart board,True,110000,1.6,63,transactional,stable,
poker chips,True,60500,1.45,55,transactional,stable,
playing cards,True,135000,0.9,62,transactional,stable,
uno cards,True,90500,0.5,50,transactional,stable,
jigsaw puzzle,True,201000,0.8,75,transactional,stable,
crossword book,True,12000,0.45,35,transactional,stable,
sudoku book,True,14500,0.55,38,transactional,stable,
coloring book,True,246000,1.2,78,transactional,stable,
adult coloring,True,90500,1.5,65,informational,stable,
paint by numbers,True,165000,2.1,72,transactional,rising,
diamond painting,True,201000,1.85,81,transactional,stable,
embroidery kit,True,110000,2.45,62,transactional,rising,
knitting needles,True,60500,1.1,54,commercial,stable,
yarn,True,450000,0.95,85,commercial,stable,
crochet hooks,True,90500,1.05,58,transactional,rising,
sewing machine,True,301000,3.5,82,transactional,stable,
thread,True,135000,0.8,68,informational,stable,
fabric,True,368000,1.25,75,commercial,stable,
buttons,True,90500,0.65,55,commercial,stable,
zipper,True,74000,0.75,52,commercial,stable,
patches,True,110000,1.15,64,transactional,rising,
iron on vinyl,True,49500,1.8,60,transactional,stable,
cricut tools,True,60500,2.2,65,transactional,stable,
heat press,True,110000,2.85,72,transactional,stable,
sublimation blanks,True,60500,1.65,58,commercial,rising,
resin molds,True,74000,1.4,55,transactional,stable,
epoxy resin,True,165000,2.1,68,commercial,stable,
clay tools,True,40500,1.35,48,commercial,stable,
pottery wheel,True,74000,3.75,64,transactional,rising,
kiln,True,49500,4.2,60,transactional,stable,
3d printer filament,True,110000,1.9,58,commercial,stable,
3d printer,True,450000,2.6,85,transactional,stable,
arduino kit,True,40500,1.5,48,commercial,stable,
raspberry pi,True,301000,1.2,75,informational,stable,
breadboard,True,22200,0.8,32,commercial,stable,
jumper wires,True,14800,0.65,28,transactional,stable,
led strips,True,165000,1.1,62,commercial,rising,
servo motors,True,27100,0.9,35,commercial,stable,
sensors kit,True,5400,0.75,30,transactional,stable,
multimeter,True,110000,2.5,55,commercial,stable,
soldering iron,True,74000,1.8,45,commercial,stable,
solder,True,49500,0.95,38,transactional,stable,
helping hands,True,18100,1.1,25,commercial,stable,
magnifier,True,33100,1.4,42,informational,stable,
headlamp rechargeable,True,60500,2.2,50,transactional,rising,
work gloves,True,49500,1.6,52,commercial,stable,
safety glasses,True,60500,1.3,40,transactional,stable,
ear muffs,True,33100,1.1,35,commercial,stable,
knee pads work,True,22200,2.1,45,transactional,stable,
tool bag,True,74000,2.8,58,commercial,stable,
socket set,True,49500,3.5,60,transactional,stable,
wrench set,True,40500,2.9,55,transactional,stable,
pliers set,True,18100,2.4,48,transactional,stable,
hammer,True,90500,1.5,45,informational,stable,
mallet,True,27100,1.2,35,commercial,stable,
utility knife,True,49500,1.8,42,transactional,stable,
box cutter,True,60500,1.6,40,transactional,stable,
duct tape,True,110000,1,55,commercial,stable,
masking tape,True,49000,1,42,commercial,stable,
painter tape,True,60000,1,48,commercial,stable,
zip ties,True,135000,1,58,transactional,stable,
velcro straps,True,40000,2,45,transactional,stable,
hooks,True,90000,1,72,informational,stable,
command strips,True,165000,1,50,transactional,rising,
wall anchors,True,74000,1,38,commercial,stable,
screws,True,49000,1,52,informational,stable,
nails,True,33000,1,48,informational,stable,
wood glue,True,60000,1,45,commercial,stable,
super glue,True,90000,1,48,commercial,stable,
epoxy,True,110000,2,60,informational,stable,
caulk,True,74000,1,45,commercial,stable,
caulk gun,True,49000,1,35,transactional,stable,
paint tray,True,18000,1,32,transactional,stable,
drop cloth,True,27000,1,38,commercial,stable,
sandpaper,True,60000,1,48,informational,stable,
orbital sander,True,90000,2,55,commercial,stable,
jigsaw,True,110000,2,52,commercial,stable,
circular saw,True,90000,2,58,commercial,stable,
reciprocating saw,True,60000,2,50,commercial,stable,
angle grinder,True,110000,2,55,commercial,stable,
impact driver,True,74000,3,60,transactional,stable,
cordless drill,True,90000,3,65,transactional,stable,
battery pack,True,165000,1.8,68,commercial,stable,
work light,True,60000,2.5,45,commercial,stable,
clamp set,True,12000,1.2,32,commercial,stable,
best laptop,True,301000,4.5,92,commercial,stable,
best yoga mat,True,90500,2.2,74,commercial,stable,
best air fryer,True,246000,1.8,82,commercial,stable,
best kindle,True,49500,0.9,65,commercial,stable,
best protein powder,True,135000,3.5,88,commercial,stable,
best wireless earbuds,True,110000,2.8,85,commercial,stable,
best phone case,True,40500,1.5,76,commercial,stable,
best water bottle,True,165000,2.1,79,commercial,rising,
best led lights,True,49500,1.6,55,commercial,stable,
best gaming chair,True,110000,2.4,81,commercial,declining,
best desk lamp,True,33100,1.9,58,commercial,stable,
best bluetooth speaker,True,90500,2.1,78,commercial,stable,
best electric toothbrush,True,60500,3.2,72,commercial,stable,
best hair dryer,True,74000,2.7,75,commercial,stable,
best shampoo,True,90500,2.5,84,commercial,stable,
best conditioner,True,33100,2.2,70,commercial,stable,
best running shoes,True,201000,2.9,89,commercial,stable,
best backpack,True,110000,1.8,77,commercial,stable,
best coffee maker,True,135000,3.1,80,commercial,stable,
best instant pot,True,40500,1.4,62,commercial,declining,
best robot vacuum,True,90500,2.8,83,commercial,stable,
best smart watch,True,165000,3.6,87,commercial,stable,
best tablet stand,True,22000,1.8,48,commercial,stable,
best usb c hub,True,33000,2.5,62,commercial,stable,
best portable charger,True,74000,2.2,75,commercial,rising,
best webcam,True,60000,3.1,68,commercial,stable,
best mechanical keyboard,True,49000,2.8,72,commercial,stable,
best gaming mouse,True,60000,2.4,65,commercial,stable,
best monitor stand,True,27000,2.1,52,commercial,stable,
best office chair,True,110000,4.5,82,commercial,stable,
best standing desk,True,90000,5.2,78,commercial,stable,
best mattress topper,True,135000,3.8,74,commercial,stable,
best pillow,True,90000,2.9,70,commercial,stable,
best duvet cover,True,40000,2.2,58,commercial,stable,
best kitchen knife,True,33000,3.5,64,commercial,stable,
best cutting board,True,22000,1.9,50,commercial,stable,
best cast iron skillet,True,40000,2.7,66,commercial,stable,
best blender,True,74000,3.4,72,commercial,stable,
best toaster,True,49000,1.8,55,commercial,stable,
best microwave,True,60000,2.1,58,commercial,stable,
best air purifier,True,165000,4.2,76,commercial,stable,
best humidifier,True,110000,3.1,70,commercial,stable,
best dehumidifier,True,135000,3.5,73,commercial,stable,
best space heater,True,90000,2.5,60,commercial,rising,
best fan,True,33000,1.5,52,commercial,stable,
best extension cord,True,12000,1.2,42,commercial,stable,
best power strip,True,18000,1.6,45,commercial,stable,
best surge protector,True,49500,1.8,68,commercial,stable,
best hdmi cable,True,40500,1.2,74,commercial,declining,
best ethernet cable,True,33100,1.1,55,commercial,stable,
best wifi router,True,90500,3.5,82,commercial,stable,
best mesh wifi,True,60500,4.2,76,commercial,stable,
best security camera,True,74000,2.5,85,commercial,stable,
best doorbell camera,True,49500,3.8,79,commercial,stable,
best smart bulb,True,22200,1.6,58,commercial,stable,
best smart plug,True,27100,1.9,52,commercial,stable,
best thermostat,True,40500,4.5,71,commercial,stable,
best pet bed,True,18100,1.4,64,commercial,stable,
best dog leash,True,14800,2.1,55,commercial,stable,
best cat litter,True,49500,1.2,72,commercial,rising,
best bird feeder,True,33100,0.9,48,commercial,stable,
best camping tent,True,40500,2.8,78,commercial,stable,
best sleeping bag,True,27100,1.8,62,commercial,stable,
best hiking backpack,True,22200,2.2,69,commercial,stable,
best fishing rod,True,18100,1.5,58,commercial,stable,
best bicycle pump,True,9900,1.3,45,commercial,stable,
best bike lock,True,14800,1.7,54,commercial,stable,
best car phone mount,True,33100,2.4,66,commercial,stable,
best dash cam,True,110000,2.1,77,commercial,rising,
best tire inflator,True,60500,1.9,61,commercial,stable,
best jump starter,True,49500,2.6,59,commercial,stable,
best tool set,True,18100,3.2,65,commercial,stable,
best drill,True,74000,3.5,78,commercial,stable,
best screwdriver set,True,18000,2.2,45,commercial,stable,
best measuring tape,True,12000,1.5,38,commercial,stable,
best paint roller,True,9900,1.8,32,commercial,stable,
best garden hose,True,49500,2.8,55,commercial,rising,
best lawn mower,True,110000,4.5,82,commercial,rising,
best plant pot,True,8100,1.2,35,commercial,stable,
best fertilizer,True,27000,3.2,58,commercial,rising,
best sunscreen,True,165000,4.1,85,commercial,rising,
best moisturizer,True,90500,3.8,80,commercial,stable,
best face wash,True,74000,3.5,72,commercial,stable,
best body lotion,True,40500,2.5,65,commercial,stable,
best deodorant,True,60500,3.1,68,commercial,stable,
best razor,True,22000,2.8,60,commercial,stable,
best nail clipper,True,14800,1.1,30,commercial,stable,
best toothbrush,True,33000,2.2,55,commercial,stable,
best toothpaste,True,27000,1.9,48,commercial,stable,
best floss,True,12000,1.4,35,commercial,stable,
best vitamins,True,49500,4.2,88,commercial,stable,
best protein bar,True,60500,3.5,70,commercial,stable,
best granola,True,18000,1.8,42,commercial,stable,
best olive oil,True,33000,2.1,52,commercial,stable,
best rice cooker,True,60500,2.9,68,commercial,stable,
best slow cooker,True,49500,2.5,62,commercial,stable,
best waffle maker,True,40500,2.3,58,commercial,stable,
best ice cream maker,True,74000,3.5,68,commercial,rising,
best juicer,True,110000,4.2,74,commercial,stable,
best food processor,True,90500,2.8,65,commercial,stable,
best hand mixer,True,49500,1.5,52,commercial,stable,
best phone charger,True,33100,1.2,62,commercial,stable,
best usb cable,True,18100,0.9,58,commercial,stable,
best laptop stand,True,60500,2.5,61,commercial,stable,
best microphone,True,135000,3.8,82,commercial,stable,
best headset,True,90500,2.1,79,commercial,stable,
best keyboard,True,165000,1.8,85,commercial,stable,
best mouse,True,110000,1.6,81,commercial,stable,
best mouse pad,True,40500,1.2,55,commercial,stable,
best desk organizer,True,27100,2.2,58,commercial,stable,
best monitor arm,True,33100,3.5,64,commercial,stable,
best ssd drive,True,49500,2.8,72,commercial,stable,
best hard drive,True,60500,2.2,70,commercial,stable,
best flash drive,True,22200,0.8,55,commercial,declining,
best memory card,True,18100,1.4,60,commercial,stable,
best router,True,165000,5.5,88,commercial,stable,
best printer,True,135000,3.2,84,commercial,stable,
best ink cartridge,True,12100,4.5,62,commercial,stable,
best paper towels,True,40500,1.1,52,commercial,stable,
best trash bags,True,22200,1.5,55,commercial,stable,
best laundry detergent,True,60500,2.1,68,commercial,stable,
best fabric softener,True,14800,1.2,48,commercial,stable,
best dishwasher pods,True,22000,3.5,48,commercial,stable,
best hand soap,True,18000,2.8,45,commercial,stable,
best body wash,True,60000,4.2,62,commercial,rising,
best lip balm,True,49000,3.1,55,commercial,stable,
best shaving cream,True,15000,2.5,42,commercial,stable,
best cotton swabs,True,4400,1.2,28,commercial,stable,
best band aids,True,6600,1.5,32,commercial,stable,
best first aid kit,True,33000,4.8,58,commercial,stable,
best vitamins d,True,27000,3.9,52,commercial,rising,
best fish oil,True,40000,5.5,65,commercial,stable,
best collagen,True,90000,7.2,78,commercial,rising,
best creatine,True,135000,6.8,82,commercial,rising,
best pre workout,True,165000,8.5,88,commercial,stable,
best protein shake,True,49000,5.2,72,commercial,stable,
best meal prep containers,True,33000,3.8,55,commercial,stable,
best water filter,True,74000,6.5,75,commercial,stable,
best coffee beans,True,60000,4.5,68,commercial,rising,
best tea bags,True,9900,2.2,40,commercial,stable,
best matcha,True,40000,5.8,66,commercial,rising,
best protein cookies,True,12000,4.1,48,commercial,rising,
best energy drinks,True,33000,3.2,60,commercial,stable,
best soda stream,True,18000,4.6,54,commercial,stable,
best blender bottle,True,14000,2.8,38,commercial,stable,
best lunch box,True,74000,3.4,57,commercial,stable,
best thermos,True,22000,3.1,49,commercial,stable,
best travel mug,True,49500,1.8,68,commercial,stable,
best wine glasses,True,33100,2.1,62,commercial,stable,
best baking sheet,True,22200,1.5,54,commercial,stable,
best mixing bowls,True,18100,1.3,48,commercial,stable,
best storage bins,True,27100,2.5,65,commercial,stable,
best vacuum bags,True,8100,1.7,42,commercial,stable,
best hangers,True,14800,1.4,58,commercial,stable,
best shoe rack,True,40500,2.2,64,commercial,stable,
best laundry basket,True,22200,1.6,51,commercial,stable,
best ironing board,True,12100,1.9,46,commercial,stable,
best steam iron,True,14800,2.4,55,commercial,stable,
best tower fan,True,33100,1.8,60,commercial,rising,
best ceiling fan,True,60500,3.5,72,commercial,stable,
best light bulbs,True,12100,1.5,49,commercial,stable,
best smoke detector,True,22200,3.2,58,commercial,stable,
best carbon monoxide detector,True,18100,3.8,55,commercial,stable,
best fire extinguisher,True,14800,2.8,52,commercial,stable,
best tape measure,True,12100,1.4,50,commercial,stable,
best level tool,True,4400,1.2,38,commercial,stable,
best paint brushes,True,14800,1.6,54,commercial,stable,
best wallpaper,True,18100,2.2,70,commercial,rising,
best curtain rods,True,12100,1.7,52,commercial,stable,
best blackout curtains,True,49500,2.3,66,commercial,stable,
best throw pillows,True,9900,1.5,58,commercial,stable,
best blanket,True,18100,1.8,64,commercial,stable,
best bed sheets,True,90500,3,72,commercial,stable,
best pillow cases,True,18100,2,58,commercial,stable,
best alarm clock,True,49500,2,65,commercial,stable,
best night light,True,14800,1,52,commercial,stable,
best book light,True,12100,1,45,commercial,rising,
best kindle case,True,18100,1,48,commercial,stable,
best ipad case,True,27100,2,62,commercial,stable,
best phone holder,True,9900,2,55,commercial,stable,
best car mount,True,14800,3,59,commercial,stable,
best car vacuum,True,40500,3,61,commercial,rising,
best car phone charger,True,8100,2,42,commercial,stable,
best bike lights,True,12100,2,54,commercial,stable,
best helmet,True,14800,3,68,commercial,stable,
best yoga block,True,6600,1,46,commercial,stable,
best resistance bands,True,27100,2,64,commercial,stable,
best dumbbells,True,33100,3,70,commercial,stable,
best kettlebell,True,22200,2,65,commercial,stable,
best jump rope,True,22200,1,58,commercial,stable,
best foam roller,True,18100,2,52,commercial,stable,
best massage gun,True,49500,4,69,commercial,declining,
best running belt,True,8100,1,44,commercial,stable,
best gym bag,True,27100,2,58,commercial,stable,
best camping stove,True,12100,3,56,commercial,stable,
best flashlight,True,22200,2,63,commercial,stable,
best headlamp,True,18100,2,59,commercial,stable,
best pocket knife,True,74000,1.8,68,commercial,stable,
best multi tool,True,49500,2.1,62,commercial,stable,
best suitcase,True,60500,2.5,75,commercial,rising,
best travel adapter,True,33100,1.4,55,commercial,stable,
best packing cubes,True,40500,1.2,58,commercial,rising,
best passport holder,True,22200,0.9,45,commercial,stable,
best wallet,True,90500,2.2,82,commercial,stable,
best crossbody bag,True,110000,1.8,70,commercial,rising,
best tote bag,True,74000,1.6,65,commercial,stable,
best messenger bag,True,33100,1.5,58,commercial,stable,
best sunglasses,True,165000,2.8,85,commercial,stable,
best reading glasses,True,27100,1.4,52,commercial,stable,
best watch band,True,18100,1.1,48,commercial,stable,
best necklace,True,49500,2.4,72,commercial,stable,
best bracelet,True,40500,1.9,68,commercial,stable,
best earrings,True,60500,1.8,70,commercial,stable,
best ring box,True,9900,1.3,42,commercial,stable,
best jewelry organizer,True,27100,1.6,55,commercial,stable,
best dog collar,True,40500,1.4,58,commercial,stable,
best aquarium filter,True,22200,1.2,50,commercial,stable,
best plant pots,True,14800,1.5,45,commercial,stable,
best leaf blower,True,90500,2.2,65,commercial,stable,
best pressure washer,True,110000,2.6,68,commercial,stable,
best patio furniture,True,135000,3.5,78,commercial,rising,
best grill cover,True,18100,1.4,48,commercial,stable,
best coolers,True,165000,1.8,78,commercial,rising,
best ice packs,True,18000,0.9,42,commercial,stable,
best beach towel,True,49500,1.2,65,commercial,rising,
best swim goggles,True,27100,1.1,48,commercial,rising,
best snorkel set,True,14800,1.5,52,commercial,rising,
best tackle box,True,9900,1.3,45,commercial,stable,
best binoculars,True,60500,2.1,72,commercial,stable,
best telescope,True,49500,2.5,68,commercial,stable,
best microscope kit,True,6600,0.85,38,commercial,stable,
best lego set,True,74000,1.4,75,commercial,stable,
best board games,True,135000,1.1,82,commercial,stable,
best puzzles,True,18100,0.75,55,commercial,stable,
best playdough,True,5400,0.6,40,commercial,stable,
best crayons,True,8100,0.7,44,commercial,stable,
best markers,True,12100,0.9,46,commercial,stable,
best sketchbook,True,9900,0.8,35,commercial,stable,
best watercolor paints,True,14800,1.1,51,commercial,stable,
best canvas panels,True,3600,0.95,32,commercial,stable,
best guitar strings,True,22200,1.35,55,commercial,stable,
best piano keyboard,True,40500,2.8,64,commercial,stable,
best drum sticks,True,8100,0.8,30,commercial,stable,
best microphone stand,True,12100,1.1,42,commercial,stable,
best camera tripod,True,18100,1.9,58,commercial,stable,
best camera bag,True,22200,2.2,62,commercial,stable,
best lens cleaner,True,5400,0.7,28,commercial,stable,
best drone,True,165000,1.8,85,commercial,stable,
best action camera,True,74000,2.5,78,commercial,stable,
best gopro mount,True,9900,1.2,42,commercial,stable,
best sd card reader,True,33000,1.1,55,commercial,stable,
best external battery,True,27000,1.5,68,commercial,stable,
best power bank,True,110000,1.6,75,commercial,rising,
best solar charger,True,49500,2.2,72,commercial,stable,
best cable organizer,True,18000,0.9,45,commercial,rising,
best desk mat,True,40500,1.1,58,commercial,rising,
best monitor light,True,22000,1.3,50,commercial,rising,
best webcam light,True,14800,1.2,48,commercial,stable,
best ring light,True,135000,1.4,76,commercial,declining,
best green screen,True,33000,1.5,55,commercial,stable,
best tripod,True,60500,1.1,65,commercial,stable,
best selfie stick,True,22000,0.8,52,commercial,declining,
best bluetooth tracker,True,12000,2,64,commercial,stable,
best airtag case,True,27000,0.9,42,commercial,stable,
best key finder,True,18000,2.5,55,commercial,stable,
best label maker,True,90500,1.7,60,commercial,stable,
best laminator,True,33000,1.2,58,commercial,stable,
best stapler,True,14800,0.7,40,commercial,stable,
best binder clips,True,6600,0.5,35,commercial,stable,
best notebooks,True,49500,1.1,70,commercial,rising,
best planners,True,74000,1.5,65,commercial,rising,
best pens,True,60500,0.9,62,commercial,stable,
