keyword,returned,ok,search_volume,cpc,competition,error,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
sketchbook,True,True,74000,0.52,HIGH,,49500,90500,90500,74000,90500,90500,74000,60500,60500,49500,49500,40500
watercolor paints,True,True,90500,1.2,HIGH,,90500,90500,90500,90500,90500,90500,110000,74000,90500,74000,74000,60500
canvas panels,True,True,1900,0.55,HIGH,,1900,2400,2400,1900,1900,2400,2400,1900,1900,1900,1900,1900
guitar strings,True,True,90500,0.92,HIGH,,110000,110000,110000,110000,110000,135000,110000,90500,90500,90500,74000,74000
piano keyboard,True,True,90500,1.02,HIGH,,49500,74000,110000,110000,110000,135000,110000,110000,110000,110000,110000,60500
drum sticks,True,True,74000,0.67,HIGH,,74000,74000,74000,74000,74000,74000,60500,60500,60500,74000,74000,74000
microphone stand,True,True,27100,0.77,HIGH,,27100,27100,27100,27100,27100,33100,27100,22200,27100,22200,22200,22200
camera tripod,True,True,12100,0.89,HIGH,,14800,14800,12100,12100,12100,14800,12100,9900,9900,9900,8100,8100
camera bag,True,True,22200,1.23,HIGH,,22200,27100,27100,22200,27100,33100,22200,18100,22200,22200,22200,18100
lens cleaner,True,True,2900,1.24,HIGH,,2900,3600,3600,2900,2400,2900,2900,2900,2900,2900,2900,2900
drone,True,True,201000,1.18,HIGH,,201000,165000,201000,201000,246000,301000,201000,165000,201000,301000,165000,165000
action camera,True,True,49500,0.92,HIGH,,74000,90500,49500,74000,90500,74000,49500,40500,33100,27100,27100,22200
gopro mount,True,True,6600,0.68,HIGH,,8100,6600,6600,6600,5400,6600,6600,5400,5400,6600,5400,5400
sd card reader,True,True,49500,0.45,HIGH,,60500,60500,60500,60500,60500,60500,49500,40500,49500,49500,49500,49500
external battery,True,True,1300,1.25,HIGH,,1000,1000,1000,1000,1000,1300,1600,1000,1000,1000,1300,1600
power bank,True,True,74000,0.91,HIGH,,74000,74000,60500,60500,74000,90500,165000,49500,60500,60500,74000,74000
solar charger,True,True,6600,0.82,HIGH,,8100,6600,6600,6600,6600,6600,8100,4400,9900,6600,6600,6600
cable organizer,True,True,5400,2.09,HIGH,,6600,6600,5400,6600,6600,6600,6600,5400,5400,5400,5400,5400
desk mat,True,True,27100,1.11,HIGH,,27100,33100,27100,27100,27100,33100,33100,27100,27100,22200,22200,27100
monitor light,True,True,3600,0.51,HIGH,,2900,3600,2900,2900,4400,5400,4400,2900,2900,2900,2400,2900
webcam light,True,True,1000,1.02,HIGH,,1000,1000,1000,880,1000,1000,1000,880,1000,1000,880,880
ring light,True,True,40500,0.74,HIGH,,40500,40500,40500,40500,49500,60500,40500,33100,33100,33100,33100,27100
green screen,True,True,74000,0.43,MEDIUM,,90500,90500,74000,90500,74000,74000,74000,74000,74000,74000,74000,74000
tripod,True,True,74000,0.57,HIGH,,74000,74000,74000,90500,90500,90500,90500,74000,74000,74000,74000,74000
selfie stick,True,True,18100,0.38,HIGH,,22200,22200,18100,18100,18100,22200,18100,14800,14800,14800,18100,18100
bluetooth tracker,True,True,18100,1.57,HIGH,,14800,22200,14800,18100,27100,22200,22200,22200,27100,27100,12100,4400
airtag case,True,True,3600,0.58,HIGH,,3600,4400,3600,3600,5400,6600,4400,2900,2900,2900,2900,2900
key finder,True,True,40500,0.69,LOW,,40500,40500,40500,40500,40500,49500,40500,40500,40500,40500,40500,40500
label maker,True,True,74000,2.77,HIGH,,74000,90500,74000,74000,74000,90500,74000,60500,74000,74000,60500,60500
laminator,True,True,33100,1.91,HIGH,,33100,40500,33100,33100,33100,33100,33100,27100,33100,27100,33100,27100
stapler,True,True,40500,1.16,HIGH,,33100,49500,49500,49500,40500,40500,49500,40500,40500,40500,40500,33100
binder clips,True,True,33100,1.27,HIGH,,27100,33100,33100,33100,27100,27100,33100,27100,33100,33100,33100,27100
notebooks,True,True,201000,2.21,HIGH,,201000,301000,201000,201000,201000,201000,246000,201000,201000,201000,201000,135000
planners,True,True,90500,1.63,HIGH,,90500,165000,110000,90500,90500,110000,135000,74000,74000,74000,74000,74000
pens,True,True,135000,9.58,HIGH,,110000,135000,135000,165000,165000,165000,135000,135000,135000,165000,135000,110000
gel pens,True,True,27100,0.66,HIGH,,22200,33100,33100,27100,33100,33100,27100,22200,22200,22200,18100,18100
mechanical pencils,True,True,74000,0.44,HIGH,,74000,135000,74000,74000,74000,60500,60500,60500,60500,60500,49500,33100
highlighters,True,True,60500,0.49,HIGH,,74000,135000,74000,60500,60500,49500,49500,49500,49500,49500,49500,40500
sticky notes,True,True,60500,1.39,HIGH,,49500,74000,74000,74000,60500,49500,60500,49500,60500,49500,49500,40500
white board,True,True,60500,1.98,HIGH,,49500,74000,90500,74000,74000,60500,74000,60500,60500,60500,60500,49500
cork board,True,True,74000,1.07,HIGH,,74000,110000,74000,60500,60500,74000,90500,60500,60500,60500,60500,60500
calendar,True,True,3350000,0.37,MEDIUM,,2740000,3350000,4090000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,3350000,2740000
desk clock,True,True,4400,0.9,HIGH,,4400,4400,3600,4400,5400,5400,6600,4400,4400,4400,4400,3600
wall clock,True,True,60500,0.93,HIGH,,49500,60500,49500,49500,74000,60500,74000,60500,60500,49500,49500,40500
picture frames,True,True,165000,2.49,HIGH,,135000,165000,165000,165000,201000,246000,165000,165000,135000,135000,165000,135000
mirrors,True,True,301000,1.28,HIGH,,246000,246000,301000,301000,301000,301000,301000,246000,368000,301000,301000,246000
vases,True,True,74000,0.94,HIGH,,49500,60500,74000,90500,74000,74000,90500,110000,90500,90500,90500,60500
candles,True,True,246000,2.23,HIGH,,165000,165000,201000,301000,368000,450000,246000,201000,201000,165000,201000,135000
essential oils,True,True,90500,2.08,HIGH,,90500,90500,90500,90500,90500,110000,90500,74000,74000,74000,74000,60500
diffuser,True,True,110000,1.95,HIGH,,90500,90500,90500,110000,135000,135000,110000,90500,110000,90500,90500,90500
incense,True,True,90500,1.34,HIGH,,74000,90500,90500,110000,110000,110000,90500,90500,90500,90500,90500,74000
room spray,True,True,9900,1.55,HIGH,,9900,9900,9900,9900,12100,12100,9900,8100,9900,8100,8100,8100
cleaning wipes,True,True,5400,2.41,HIGH,,5400,6600,5400,6600,5400,4400,5400,4400,4400,4400,5400,4400
glass cleaner,True,True,33100,0.74,HIGH,,40500,40500,33100,33100,33100,27100,33100,33100,33100,33100,27100,27100
floor cleaner,True,True,22200,2.48,HIGH,,27100,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100,18100
mop,True,True,135000,0.65,HIGH,,135000,165000,165000,165000,165000,135000,135000,135000,165000,135000,135000,135000
broom,True,True,74000,0.84,HIGH,,60500,74000,74000,90500,60500,60500,74000,60500,74000,74000,74000,60500
dustpan,True,True,9900,0.85,HIGH,,9900,9900,9900,9900,9900,14800,12100,9900,9900,9900,9900,8100
sponge,True,True,74000,0.68,HIGH,,49500,74000,74000,74000,74000,74000,74000,74000,90500,90500,74000,60500
scrub brush,True,True,12100,0.83,HIGH,,14800,14800,12100,12100,12100,9900,12100,9900,14800,12100,14800,14800
rubber gloves,True,True,12100,1.89,HIGH,,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100
apron,True,True,90500,2.14,HIGH,,74000,90500,90500,110000,110000,110000,74000,74000,74000,74000,74000,60500
oven mitts,True,True,27100,0.97,HIGH,,18100,22200,27100,27100,40500,49500,27100,22200,22200,22200,18100,18100
pot holders,True,True,18100,0.77,HIGH,,14800,18100,18100,18100,27100,33100,18100,14800,14800,14800,14800,12100
spice rack,True,True,49500,0.61,HIGH,,49500,49500,49500,49500,60500,60500,60500,40500,40500,40500,40500,40500
salt pepper shakers,True,True,1900,0.86,HIGH,,1900,1600,1600,1600,2400,2400,1900,1600,1600,1900,1900,1600
measuring cups,True,True,60500,0.49,HIGH,,49500,60500,74000,74000,74000,74000,74000,60500,60500,60500,60500,49500
measuring spoons,True,True,33100,0.57,HIGH,,22200,27100,49500,40500,40500,40500,40500,40500,27100,22200,22200,22200
can opener,True,True,49500,0.73,HIGH,,49500,49500,60500,60500,74000,74000,60500,49500,49500,49500,49500,40500
bottle opener,True,True,22200,0.71,HIGH,,27100,22200,22200,22200,27100,27100,22200,18100,22200,22200,22200,22200
corkscrew,True,True,40500,1.08,HIGH,,49500,49500,40500,49500,49500,40500,40500,33100,40500,40500,40500,33100
peeler,True,True,22200,0.37,HIGH,,14800,18100,27100,27100,27100,27100,27100,22200,27100,27100,27100,18100
grater,True,True,22200,0.4,HIGH,,22200,22200,27100,22200,27100,22200,27100,22200,22200,22200,22200,18100
colander,True,True,90500,0.66,HIGH,,60500,246000,90500,74000,74000,74000,90500,74000,74000,60500,60500,49500
salad spinner,True,True,27100,0.61,HIGH,,33100,27100,27100,27100,27100,33100,33100,22200,27100,27100,27100,27100
food scale,True,True,49500,0.68,HIGH,,49500,49500,49500,40500,49500,49500,60500,49500,49500,49500,49500,49500
kitchen timer,True,True,18100,0.63,HIGH,,9900,14800,14800,33100,27100,60500,12100,9900,9900,8100,8100,6600
instant coffee,True,True,74000,0.64,HIGH,,90500,90500,74000,90500,110000,90500,90500,60500,60500,60500,49500,49500
oat milk,True,True,90500,0.43,HIGH,,110000,110000,90500,90500,90500,90500,110000,90500,90500,90500,90500,90500
almond milk,True,True,110000,0.59,HIGH,,110000,110000,110000,90500,90500,90500,110000,90500,90500,90500,90500,90500
protein pasta,True,True,74000,0.32,HIGH,,74000,90500,74000,74000,49500,49500,110000,90500,90500,90500,90500,90500
quinoa,True,True,368000,0.27,HIGH,,368000,368000,368000,368000,368000,368000,450000,368000,450000,368000,368000,368000
chia seeds,True,True,301000,0.24,HIGH,,368000,301000,301000,246000,246000,201000,450000,368000,368000,368000,301000,368000
granola bars,True,True,74000,0.39,HIGH,,74000,90500,90500,90500,74000,60500,90500,74000,90500,90500,74000,60500
trail mix,True,True,49500,0.56,HIGH,,49500,60500,60500,60500,49500,49500,49500,49500,49500,49500,74000,40500
jerky,True,True,27100,3.28,HIGH,,27100,27100,27100,27100,33100,40500,27100,33100,27100,22200,27100,22200
nuts mix,True,True,2400,0.71,HIGH,,1900,1900,2400,1900,2400,2900,2400,2400,2900,1900,1900,1900
dried fruit,True,True,27100,0.96,HIGH,,22200,27100,27100,27100,27100,27100,27100,27100,27100,22200,22200,18100
honey,True,True,301000,0.69,MEDIUM,,301000,301000,301000,368000,368000,368000,301000,301000,246000,246000,301000,246000
maple syrup,True,True,74000,0.51,HIGH,,60500,60500,74000,90500,74000,74000,74000,74000,90500,74000,74000,60500
peanut butter,True,True,135000,0.35,HIGH,,135000,135000,165000,165000,135000,135000,165000,201000,165000,135000,135000,135000
almond butter,True,True,49500,0.48,HIGH,,49500,60500,49500,49500,49500,40500,60500,49500,49500,49500,40500,40500
jam,True,True,135000,0.19,LOW,,110000,135000,135000,135000,110000,135000,110000,110000,110000,110000,135000,135000
hot sauce,True,True,90500,0.6,HIGH,,90500,110000,110000,90500,90500,90500,90500,74000,74000,74000,74000,60500
soy sauce,True,True,90500,0.3,HIGH,,74000,90500,90500,110000,110000,90500,110000,90500,90500,74000,74000,74000
olive oil spray,True,True,8100,0.5,HIGH,,8100,8100,6600,6600,8100,9900,9900,8100,8100,8100,8100,8100
coconut oil,True,True,135000,0.46,HIGH,,135000,135000,135000,135000,135000,135000,165000,135000,135000,135000,135000,135000
avocado oil,True,True,60500,0.38,HIGH,,74000,60500,60500,60500,49500,60500,74000,60500,74000,60500,60500,60500
vinegar,True,True,110000,0.47,MEDIUM,,110000,110000,110000,110000,110000,110000,110000,90500,110000,110000,110000,135000
baking soda,True,True,201000,0.47,HIGH,,201000,201000,201000,201000,201000,201000,201000,165000,201000,165000,201000,165000
flour,True,True,110000,0.43,HIGH,,90500,90500,110000,110000,135000,110000,110000,110000,110000,110000,110000,90500
sugar,True,True,201000,0.34,LOW,,165000,165000,201000,246000,246000,301000,246000,201000,201000,201000,201000,201000
chocolate chips,True,True,60500,0.4,HIGH,,49500,60500,60500,74000,74000,90500,74000,60500,60500,60500,74000,60500
cake mix,True,True,33100,0.36,HIGH,,27100,27100,27100,33100,33100,33100,33100,33100,27100,27100,33100,33100
frosting,True,True,90500,1.37,LOW,,74000,90500,90500,110000,90500,135000,110000,90500,110000,90500,90500,90500
sprinkles,True,True,90500,2.31,HIGH,,110000,110000,110000,90500,90500,135000,110000,74000,90500,90500,90500,90500
ice cream,True,True,2240000,0.53,LOW,,3350000,3350000,2240000,1830000,1500000,1500000,1830000,1830000,2240000,2740000,3350000,3350000
frozen pizza,True,True,165000,0.38,HIGH,,201000,201000,165000,165000,165000,165000,201000,110000,90500,90500,135000,135000
frozen berries,True,True,6600,0.44,HIGH,,5400,5400,5400,5400,4400,5400,8100,8100,8100,6600,6600,6600
yogurt,True,True,246000,0.5,HIGH,,246000,246000,246000,246000,246000,246000,301000,246000,246000,246000,246000,201000
cheese,True,True,368000,0.62,MEDIUM,,246000,301000,368000,368000,368000,368000,368000,368000,368000,368000,368000,301000
butter,True,True,246000,0.29,HIGH,,201000,201000,246000,246000,301000,246000,246000,246000,246000,246000,301000,246000
eggs,True,True,450000,0.32,MEDIUM,,301000,368000,450000,450000,450000,550000,450000,450000,450000,450000,368000,301000
chicken breast,True,True,110000,0.47,HIGH,,110000,110000,110000,110000,90500,90500,110000,110000,110000,110000,110000,110000
ground beef,True,True,110000,0.54,HIGH,,110000,110000,110000,110000,110000,110000,135000,135000,135000,110000,135000,110000
salmon,True,True,368000,0.55,HIGH,,301000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000,368000
shrimp,True,True,301000,0.34,HIGH,,246000,301000,301000,301000,246000,301000,301000,301000,301000,301000,301000,246000
tofu,True,True,201000,0.26,MEDIUM,,201000,201000,201000,201000,201000,201000,246000,201000,246000,201000,201000,165000
tempeh,True,True,90500,0.26,LOW,,110000,110000,90500,90500,90500,74000,110000,90500,110000,90500,110000,110000
seitan,True,True,165000,0.33,LOW,,74000,74000,90500,1220000,90500,74000,90500,74000,90500,74000,74000,74000
plant burger,True,True,1900,2.15,MEDIUM,,2400,2400,2400,1900,1900,1900,1900,1900,2400,2400,1900,1900
veggie chips,True,True,18100,0.3,HIGH,,27100,22200,18100,18100,18100,18100,22200,18100,18100,18100,14800,14800
tortilla chips,True,True,60500,0.32,HIGH,,60500,74000,74000,74000,74000,74000,74000,74000,60500,60500,60500,49500
salsa,True,True,110000,0.39,MEDIUM,,135000,135000,135000,135000,110000,110000,110000,110000,110000,110000,135000,110000
guacamole,True,True,135000,0.54,LOW,,165000,135000,165000,135000,135000,135000,165000,165000,135000,135000,165000,135000
hummus,True,True,165000,0.42,MEDIUM,,201000,165000,165000,165000,165000,165000,201000,201000,201000,165000,165000,135000
crackers,True,True,110000,0.39,HIGH,,90500,135000,110000,110000,135000,135000,110000,110000,110000,110000,110000,90500
cookies,True,True,823000,0.95,HIGH,,673000,823000,823000,823000,823000,1000000,823000,823000,823000,823000,823000,673000
brownies,True,True,165000,0.52,HIGH,,135000,165000,165000,201000,201000,201000,201000,201000,165000,165000,165000,135000
muffins,True,True,90500,0.4,MEDIUM,,74000,90500,110000,110000,90500,90500,90500,90500,90500,90500,90500,74000
bagels,True,True,673000,0.51,LOW,,823000,823000,673000,673000,673000,673000,673000,550000,673000,673000,673000,673000
bread,True,True,301000,0.42,HIGH,,201000,246000,301000,301000,301000,301000,301000,301000,301000,301000,301000,201000
english muffins,True,True,74000,0.38,HIGH,,74000,74000,74000,74000,74000,74000,90500,74000,74000,74000,74000,74000
cereal,True,True,301000,0.38,HIGH,,246000,246000,301000,301000,246000,246000,301000,301000,301000,301000,301000,246000
oatmeal,True,True,201000,0.34,HIGH,,165000,165000,201000,201000,201000,201000,246000,201000,246000,201000,201000,165000
pancake mix,True,True,60500,0.27,HIGH,,60500,60500,49500,60500,60500,60500,90500,60500,60500,60500,60500,60500
syrup,True,True,74000,0.72,HIGH,,60500,74000,60500,74000,74000,74000,74000,60500,74000,60500,60500,60500
waffles,True,True,1000000,0.66,LOW,,1220000,1220000,1220000,1220000,1000000,1220000,1220000,1000000,1000000,1000000,1000000,823000
smoothie mix,True,True,2900,0.95,HIGH,,3600,3600,2400,1900,1900,2400,3600,2900,2900,2900,2900,2900
juice,True,True,110000,1.12,HIGH,,90500,110000,90500,110000,135000,165000,135000,110000,110000,90500,90500,74000
sparkling water,True,True,135000,0.8,HIGH,,135000,135000,135000,110000,110000,135000,135000,110000,135000,135000,135000,135000
baby formula,True,True,74000,2.98,HIGH,,74000,60500,74000,90500,110000,74000,90500,74000,74000,60500,60500,60500
diapers,True,True,165000,2.95,HIGH,,165000,135000,135000,165000,165000,135000,165000,135000,165000,165000,165000,135000
baby wipes,True,True,49500,1.01,HIGH,,49500,60500,49500,49500,49500,49500,49500,40500,49500,49500,40500,49500
baby bottles,True,True,74000,0.61,HIGH,,74000,74000,90500,90500,90500,74000,90500,74000,74000,74000,74000,60500
pacifier,True,True,90500,0.52,HIGH,,74000,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,74000
baby monitor,True,True,60500,1.12,HIGH,,60500,60500,60500,60500,60500,60500,60500,49500,60500,49500,49500,49500
stroller,True,True,90500,0.78,HIGH,,110000,90500,90500,90500,90500,90500,90500,90500,110000,90500,90500,90500
car seat,True,True,135000,0.75,HIGH,,165000,165000,135000,135000,165000,135000,135000,135000,165000,135000,135000,135000
high chair,True,True,74000,0.84,HIGH,,74000,74000,60500,74000,74000,74000,74000,60500,74000,60500,60500,60500
baby clothes,True,True,110000,1.42,HIGH,,110000,135000,110000,110000,135000,135000,110000,110000,110000,90500,90500,90500
swaddle,True,True,40500,0.71,HIGH,,40500,40500,40500,49500,49500,49500,49500,40500,40500,40500,40500,40500
crib sheets,True,True,27100,0.92,HIGH,,27100,33100,33100,27100,27100,27100,33100,27100,27100,27100,27100,22200
nursing pillow,True,True,27100,0.54,HIGH,,27100,33100,27100,33100,33100,22200,27100,22200,27100,27100,22200,22200
breast pump,True,True,90500,3.95,HIGH,,110000,110000,90500,90500,90500,90500,110000,74000,90500,90500,74000,74000
pregnancy pillow,True,True,135000,1.48,HIGH,,135000,135000,135000,135000,135000,165000,165000,135000,135000,135000,135000,110000
maternity belt,True,True,9900,0.69,HIGH,,12100,9900,9900,9900,8100,9900,9900,9900,8100,8100,8100,6600
makeup brushes,True,True,49500,1.05,HIGH,,40500,40500,40500,49500,90500,90500,49500,33100,40500,33100,33100,33100
foundation,True,True,246000,1.99,MEDIUM,,368000,368000,301000,201000,201000,201000,201000,165000,165000,165000,165000,165000
mascara,True,True,110000,2.37,HIGH,,110000,110000,135000,135000,135000,135000,110000,110000,110000,110000,110000,135000
eyeliner,True,True,60500,1.31,HIGH,,60500,60500,60500,90500,74000,74000,60500,60500,60500,60500,60500,49500
lipstick,True,True,60500,0.92,HIGH,,49500,49500,49500,60500,74000,74000,60500,49500,60500,49500,49500,40500
nail polish,True,True,74000,1.15,HIGH,,74000,90500,74000,90500,74000,90500,74000,60500,74000,74000,74000,74000
nail file,True,True,40500,0.66,HIGH,,40500,40500,49500,49500,49500,40500,49500,40500,49500,40500,40500,40500
hair clips,True,True,90500,0.82,HIGH,,90500,90500,90500,110000,135000,135000,90500,90500,90500,90500,90500,90500
hair ties,True,True,40500,0.77,HIGH,,40500,40500,40500,40500,49500,49500,40500,33100,40500,40500,40500,33100
hair straightener,True,True,74000,1.41,HIGH,,49500,74000,60500,74000,110000,135000,60500,60500,60500,60500,60500,40500
curling iron,True,True,74000,0.98,HIGH,,60500,60500,60500,74000,135000,110000,74000,60500,60500,49500,60500,49500
hot rollers,True,True,22200,0.5,HIGH,,22200,22200,18100,27100,33100,33100,22200,18100,18100,22200,22200,18100
hair oil,True,True,60500,0.98,HIGH,,60500,60500,60500,60500,74000,74000,60500,60500,60500,49500,49500,49500
leave in conditioner,True,True,74000,0.77,HIGH,,74000,74000,74000,74000,74000,74000,90500,74000,90500,90500,74000,90500
dry shampoo,True,True,90500,1.43,HIGH,,74000,90500,90500,90500,110000,110000,90500,90500,90500,90500,90500,74000
hair mask,True,True,49500,0.93,HIGH,,49500,49500,49500,60500,74000,60500,60500,49500,49500,49500,49500,49500
beard oil,True,True,40500,2.46,HIGH,,40500,40500,40500,49500,49500,74000,49500,40500,40500,33100,33100,27100
beard trimmer,True,True,90500,1.75,HIGH,,90500,90500,90500,90500,110000,110000,90500,74000,74000,74000,60500,60500
electric shaver,True,True,40500,1.52,HIGH,,40500,40500,33100,40500,60500,60500,40500,33100,33100,27100,27100,33100
nose trimmer,True,True,12100,0.95,HIGH,,12100,12100,12100,12100,14800,14800,12100,12100,12100,12100,12100,9900
foot file,True,True,9900,0.64,HIGH,,12100,9900,9900,8100,8100,9900,12100,9900,9900,8100,9900,9900
callus remover,True,True,33100,0.61,HIGH,,40500,40500,33100,33100,27100,27100,33100,27100,33100,33100,33100,40500
bath bombs,True,True,40500,1.24,HIGH,,27100,33100,33100,40500,60500,74000,40500,33100,60500,40500,40500,27100
loofah,True,True,90500,0.41,HIGH,,90500,90500,90500,90500,90500,90500,90500,74000,90500,90500,110000,90500
shower curtain,True,True,165000,0.86,HIGH,,201000,201000,165000,165000,165000,135000,201000,165000,165000,165000,165000,165000
bath mat,True,True,74000,1.33,HIGH,,74000,90500,74000,60500,74000,60500,74000,60500,60500,60500,74000,74000
towel set,True,True,8100,1.32,HIGH,,8100,8100,6600,6600,12100,12100,6600,5400,6600,6600,6600,6600
hand towels,True,True,18100,1.22,HIGH,,22200,22200,18100,18100,22200,18100,18100,14800,18100,18100,18100,18100
toilet paper,True,True,110000,2.39,HIGH,,110000,110000,110000,135000,110000,110000,110000,90500,110000,110000,110000,90500
plunger,True,True,60500,0.85,HIGH,,49500,60500,49500,60500,60500,60500,60500,60500,60500,49500,49500,49500
toilet brush,True,True,22200,1.21,HIGH,,27100,33100,27100,27100,22200,22200,22200,18100,22200,18100,22200,22200
shower head,True,True,135000,1.18,HIGH,,165000,165000,135000,165000,165000,165000,165000,135000,165000,135000,135000,135000
bathroom scale,True,True,22200,1.16,HIGH,,27100,33100,33100,18100,18100,22200,22200,14800,18100,14800,14800,14800
makeup organizer,True,True,27100,0.67,HIGH,,27100,33100,22200,22200,40500,49500,27100,18100,18100,18100,18100,18100
jewelry box,True,True,110000,1.02,HIGH,,110000,110000,90500,110000,201000,246000,135000,90500,90500,90500,110000,90500
perfume,True,True,301000,1.68,HIGH,,246000,301000,301000,301000,550000,550000,301000,246000,246000,246000,301000,246000
cologne,True,True,368000,1.26,HIGH,,246000,301000,301000,301000,550000,550000,368000,301000,301000,301000,301000,246000
hand cream,True,True,22200,1.21,HIGH,,14800,14800,14800,18100,40500,49500,33100,27100,22200,18100,18100,14800
cuticle oil,True,True,49500,0.67,HIGH,,49500,49500,49500,49500,49500,60500,74000,60500,60500,49500,49500,40500
acne patches,True,False,,,,null search_volume,,,,,,,,,,,,
retinol cream,True,True,40500,2.26,HIGH,,40500,40500,40500,40500,40500,40500,49500,40500,40500,40500,40500,40500
vitamin c serum,True,True,90500,3,HIGH,,90500,90500,90500,74000,90500,90500,110000,90500,110000,90500,90500,90500
hyaluronic acid,True,True,201000,1.89,HIGH,,201000,201000,165000,201000,201000,201000,246000,301000,246000,201000,201000,165000
eye cream,True,True,22200,2.38,HIGH,,22200,22200,22200,22200,27100,27100,27100,22200,22200,18100,18100,18100
face mask,True,True,110000,1.39,HIGH,,90500,90500,90500,110000,135000,135000,135000,90500,90500,90500,90500,74000
toner,True,True,40500,1.37,HIGH,,49500,49500,40500,40500,40500,40500,49500,40500,49500,40500,40500,40500
cleanser,True,True,18100,0.93,HIGH,,22200,22200,18100,18100,22200,18100,22200,18100,22200,18100,18100,22200
cotton pads,True,True,22200,0.59,HIGH,,22200,22200,22200,27100,22200,22200,27100,22200,22200,27100,22200,22200
makeup remover,True,True,40500,0.9,HIGH,,18100,201000,60500,49500,33100,27100,27100,22200,22200,18100,14800,18100
false lashes,True,True,6600,1.59,HIGH,,6600,6600,6600,8100,8100,8100,8100,6600,6600,6600,6600,5400
tweezers,True,True,60500,0.88,HIGH,,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500
scissors,True,True,201000,0.97,MEDIUM,,165000,246000,246000,246000,201000,246000,246000,201000,201000,201000,201000,165000
nail clippers,True,True,49500,1.31,HIGH,,49500,49500,49500,49500,49500,60500,49500,40500,40500,40500,40500,40500
ear buds case,True,True,2900,0.6,HIGH,,2400,2900,2400,2900,5400,9900,2400,2400,1900,1600,1600,1300
airpods case,True,True,60500,0.67,HIGH,,60500,60500,60500,60500,90500,110000,60500,49500,49500,49500,40500,40500
apple watch band,True,True,201000,1.71,HIGH,,246000,246000,246000,201000,246000,301000,201000,165000,201000,201000,201000,201000
samsung charger,True,True,9900,0.96,HIGH,,9900,9900,9900,9900,9900,9900,8100,8100,9900,8100,8100,8100
pixel case,True,True,1300,1.66,HIGH,,1300,1900,1900,1300,1300,1300,1300,1000,1300,1000,880,880
iphone case,True,True,74000,2.14,HIGH,,74000,74000,110000,90500,90500,110000,74000,90500,74000,60500,60500,60500
screen protector,True,True,40500,1.86,HIGH,,49500,49500,49500,40500,40500,49500,40500,40500,49500,40500,40500,40500
tempered glass,True,True,27100,2.47,MEDIUM,,27100,27100,27100,27100,40500,27100,27100,27100,27100,27100,27100,27100
phone grip,True,True,8100,1.76,HIGH,,18100,8100,8100,9900,6600,6600,6600,5400,6600,5400,5400,4400
pop socket,True,True,49500,1.79,HIGH,,49500,49500,49500,49500,49500,60500,60500,40500,49500,49500,49500,40500
wallet case,True,True,2400,1.77,HIGH,,2400,2400,2400,2400,2900,2900,2400,1900,1900,1900,1900,1900
folio case,True,True,880,0.97,HIGH,,1300,880,1000,720,880,1000,880,590,720,590,1000,720
laptop sleeve,True,True,22200,0.85,HIGH,,27100,33100,22200,18100,22200,33100,22200,18100,18100,14800,14800,14800
laptop backpack,True,True,27100,1.21,HIGH,,33100,49500,33100,27100,33100,27100,27100,22200,22200,18100,22200,18100
messenger laptop bag,True,True,480,1.18,HIGH,,480,720,1000,390,480,480,390,480,480,390,320,260
camera lens,True,True,33100,1.19,HIGH,,22200,27100,40500,33100,27100,33100,27100,27100,27100,40500,27100,22200
nd filter,True,True,12100,1.25,HIGH,,14800,12100,14800,12100,12100,12100,12100,9900,12100,12100,12100,12100
softbox,True,True,8100,0.66,HIGH,,5400,9900,6600,8100,12100,9900,14800,8100,6600,6600,6600,6600
light stand,True,True,5400,1.02,HIGH,,5400,5400,5400,5400,5400,5400,5400,4400,4400,4400,4400,4400
backdrop,True,True,40500,3.65,HIGH,,33100,33100,40500,40500,40500,33100,40500,33100,40500,40500,40500,33100
reflector,True,True,14800,1.83,MEDIUM,,9900,12100,12100,12100,9900,49500,12100,9900,9900,9900,9900,8100
gaffer tape,True,True,40500,3.63,HIGH,,40500,40500,40500,49500,40500,40500,40500,40500,40500,40500,40500,40500
sandbag,True,True,18100,4.52,HIGH,,22200,18100,22200,18100,22200,22200,14800,14800,18100,18100,18100,22200
boom arm,True,True,3600,0.76,HIGH,,3600,3600,2900,2900,3600,4400,3600,3600,3600,2900,2900,3600
lav mic,True,True,6600,0.77,HIGH,,6600,5400,6600,6600,5400,5400,5400,8100,6600,8100,5400,5400
podcast mic,True,True,18100,1.43,HIGH,,18100,18100,22200,22200,22200,22200,18100,18100,18100,14800,14800,12100
audio interface,True,True,33100,0.94,HIGH,,27100,33100,27100,33100,40500,40500,33100,27100,27100,27100,22200,22200
midi controller,True,True,18100,0.76,HIGH,,18100,18100,22200,18100,22200,22200,18100,18100,22200,14800,14800,12100
studio monitors,True,True,14800,0.93,HIGH,,18100,18100,18100,18100,18100,14800,14800,14800,14800,14800,9900,9900
